ad_id,text,text_detected_entities,text_start,text_end,field,CAND,TONE,CAND_name,chunk1,chunk2
CR00212990314426662913,$T$ FOR US,WMPID1062,0,15,advertiser_name,60,1,Angelica Duenas,"", FOR US
CR00728345708016435201,$T$ FOR CONGRESS,WMPID70,0,6,advertiser_name,9,1,Adam Schiff,"", FOR CONGRESS
CR07435764385781383169,$T$ For Congress,WMPID1885,0,11,advertiser_name,800,1,Max Steiner,"", For Congress
CR10257715129416155137,$T$ FOR US SENATE,WMPID1357,0,9,advertiser_name,1376,1,Rand Paul,"", FOR US SENATE
CR00065064219048935425,$T$ FOR CONGRESS,WMPID1069,0,12,advertiser_name,647,1,Katie Porter,"", FOR CONGRESS
CR00117177496792727553,$T$ for Senate,WMPID1302,0,10,advertiser_name,1337,1,Mark Kelly,"", for Senate
CR00395464370819170305,$T$ FOR CONGRESS,WMPID1668,0,12,advertiser_name,402,1,George Logan,"", FOR CONGRESS
CR00432616456404860929,$T$ FOR CONGRESS,WMPID84,0,11,advertiser_name,568,1,Joe Collins,"", FOR CONGRESS
CR00597317250931752961,$T$ FOR CONGRESS,WMPID1264,0,6,advertiser_name,579,1,John Curtis,"", FOR CONGRESS
CR00713302945839448065,$T$ FOR CONGRESS,WMPID1668,0,12,advertiser_name,402,1,George Logan,"", FOR CONGRESS
CR00719976225505804289,$T$ FOR CONGRESS,WMPID84,0,11,advertiser_name,568,1,Joe Collins,"", FOR CONGRESS
CR00823256651237687297,$T$ FOR MONTANA,WMPID2524,0,13,advertiser_name,868,1,Monica Tranel,"", FOR MONTANA
CR00925611837934796801,$T$ FOR CONGRESS,WMPID2781,0,9,advertiser_name,995,1,Robert Zimmerman,"", FOR CONGRESS
CR01058536196663148545,$T$ FOR CONGRESS,WMPID1069,0,12,advertiser_name,647,1,Katie Porter,"", FOR CONGRESS
CR01068580235382882305,$T$ FOR SENATE,WMPID1516,0,22,advertiser_name,1220,1,Catherine Cortez Masto,"", FOR SENATE
CR01071835270837436417,$T$ FOR CONGRESS,WMPID96,0,14,advertiser_name,695,1,Lauren Boebert,"", FOR CONGRESS
CR01485873554145673217,$T$ FOR CONGRESS INC.,WMPID973,0,13,advertiser_name,327,1,Drew Ferguson,"", FOR CONGRESS INC.
CR01553768878197178369,$T$ for Senate,WMPID1302,0,10,advertiser_name,1337,0,Mark Kelly,"", for Senate
CR01576801447775830017,$T$ FOR SENATE,WMPID3907,0,13,advertiser_name,1208,1,Blake Masters,"", FOR SENATE
CR01693055560959655937,FRIENDS OF $T$,WMPID1547,11,18,advertiser_name,1223,1,Charles Schumer,FRIENDS OF ,""
CR01749069974678274049,$T$ FOR CONGRESS,WMPID4126,0,12,advertiser_name,211,1,Cicely Davis,"", FOR CONGRESS
CR01827365854094819329,$T$ FOR VERMONT,WMPID1029,0,5,advertiser_name,1373,1,Peter Welch,"", FOR VERMONT
CR01862963986153078785,$T$ FOR CONGRESS,WMPID2556,0,12,advertiser_name,746,1,Mariannette Jane Miller-Meeks,"", FOR CONGRESS
CR01995916588586369025,$T$ FOR US,WMPID1062,0,15,advertiser_name,60,1,Angelica Duenas,"", FOR US
CR02015316371746848769,FRIENDS OF $T$,WMPID1547,11,18,advertiser_name,1223,1,Charles Schumer,FRIENDS OF ,""
CR02212826387088146433,$T$ FOR UTAH INC,WMPID3978,0,8,advertiser_name,1241,1,David Evan Mcmullin,"", FOR UTAH INC
CR02226821727000723457,$T$ FOR CONGRESS,WMPID2343,0,15,advertiser_name,144,1,Bridget Fleming,"", FOR CONGRESS
CR02340112931225600001,$T$ FOR SENATE,WMPID1478,0,6,advertiser_name,1215,1,Brian Schatz,"", FOR SENATE
CR02415060866455044097,$T$ FOR CONGRESS,WMPID2459,0,7,advertiser_name,918,1,Paul Degroot,"", FOR CONGRESS
CR02713775841891844097,$T$ FOR CONGRESS,WMPID3178,0,6,advertiser_name,78,1,April Becker,"", FOR CONGRESS
CR02856646657682964481,$T$ FOR CONGRESS,WMPID1103,0,10,advertiser_name,212,1,Cindy Axne,"", FOR CONGRESS
CR02865007069222666241,$T$ FOR CONGRESS,WMPID1668,0,12,advertiser_name,402,1,George Logan,"", FOR CONGRESS
CR02876030085607981057,$T$ FOR CONGRESS,WMPID2951,0,12,advertiser_name,661,1,Kermit Jones,"", FOR CONGRESS
CR02994214322734891009,REP. $T$ - U.S. HOUSE OF REPRESENTATIVES,WMPID1228,5,20,advertiser_name,1183,1,William Timmons,REP. , - U.S. HOUSE OF REPRESENTATIVES
CR03099068699361935361,$T$ FOR CONGRESS,WMPID338,0,8,advertiser_name,444,1,Hillary Scholten,"", FOR CONGRESS
CR03380013161712189441,$T$ FOR CONGRESS,WMPID84,0,11,advertiser_name,568,1,Joe Collins,"", FOR CONGRESS
CR03668076961852293121,$T$ FOR CONGRESS,WMPID338,0,8,advertiser_name,444,1,Hillary Scholten,"", FOR CONGRESS
CR03695691196383887361,"$T$ for Congress, Inc.",WMPID1266,0,11,advertiser_name,974,1,Rob Wittman,""," for Congress, Inc."
CR03853228122900004865,$T$ FOR CONGRESS,WMPID948,0,6,advertiser_name,319,1,Doris Matsui,"", FOR CONGRESS
CR03985302559140085761,$T$ FOR CONGRESS,WMPID1006,0,10,advertiser_name,554,1,Jim Jordan,"", FOR CONGRESS
CR04380397494052323329,$T$ for Senate,WMPID1302,0,10,advertiser_name,1337,1,Mark Kelly,"", for Senate
CR04475620973453770753,$T$ FOR CONGRESS,WMPID2537,0,5,advertiser_name,124,1,Brad Pfaff,"", FOR CONGRESS
CR04559956470241689601,$T$ FOR SENATE,WMPID1321,0,11,advertiser_name,1333,1,Marco Rubio,"", FOR SENATE
CR04625289245005709313,$T$ FOR CONGRESS,WMPID144,0,17,advertiser_name,67,1,Anna Paulina Luna,"", FOR CONGRESS
CR04660915071013093377,$T$ FOR SENATE,WMPID1516,0,22,advertiser_name,1220,1,Catherine Cortez Masto,"", FOR SENATE
CR04922690097888886785,$T$ for Congress,WMPID1181,0,14,advertiser_name,1131,1,Tom Malinowski,"", for Congress
CR04996210042391756801,$T$ for US Senate,WMPID4438,0,10,advertiser_name,1328,1,Luke Mixon,"", for US Senate
CR05049459115647041537,$T$ FOR CONGRESS,WMPID1003,0,9,advertiser_name,1086,1,Susie Lee,"", FOR CONGRESS
CR05545167404679561217,"$T$ FOR CONGRESS, INC.",WMPID271,0,9,advertiser_name,51,1,Andy Barr,""," FOR CONGRESS, INC."
CR05713015276363055105,"$T$ FOR SENATE, INC.",WMPID1450,0,11,advertiser_name,1387,1,Ron Johnson,""," FOR SENATE, INC."
CR06084443979401658369,$T$ FOR SENATE,WMPID1321,0,11,advertiser_name,1333,1,Marco Rubio,"", FOR SENATE
CR06116128056223465473,NEVADANS FOR $T$,WMPID819,13,28,advertiser_name,1078,1,Steven Horsford,NEVADANS FOR ,""
CR06828983500830408705,$T$ FOR CONGRESS,WMPID1179,0,8,advertiser_name,54,1,Andy Kim,"", FOR CONGRESS
CR07293660479350636545,$T$ for Congress,WMPID1181,0,14,advertiser_name,1131,1,Tom Malinowski,"", for Congress
CR07527030447956557825,$T$ FOR GEORGIA,WMPID1330,0,7,advertiser_name,1377,1,Raphael Warnock,"", FOR GEORGIA
CR08043927631726379009,$T$ FOR US SENATE,WMPID1357,0,9,advertiser_name,1376,1,Rand Paul,"", FOR US SENATE
CR08057168500503871489,$T$ FOR SENATE,WMPID1321,0,11,advertiser_name,1333,1,Marco Rubio,"", FOR SENATE
CR08085077747749093377,$T$ FOR SENATE,WMPID1321,0,11,advertiser_name,1333,1,Marco Rubio,"", FOR SENATE
CR08321766523483979777,$T$ for US Senate,WMPID4438,0,10,advertiser_name,1328,1,Luke Mixon,"", for US Senate
CR08974361858941124609,$T$ for Congress,WMPID1191,0,8,advertiser_name,798,1,Max Rose,"", for Congress
CR09127378486997024769,$T$ for Colorado,WMPID1305,0,6,advertiser_name,1347,1,Michael Bennet,"", for Colorado
CR09424316101887524865,$T$ FOR SENATE,WMPID1516,0,22,advertiser_name,1220,1,Catherine Cortez Masto,"", FOR SENATE
CR10119517031884652545,$T$ FOR SENATE,WMPID1495,0,9,advertiser_name,1415,1,Tim Scott,"", FOR SENATE
CR10420631966326980609,$T$ FOR CONGRESS,WMPID897,0,5,advertiser_name,1128,1,Tom Emmer,"", FOR CONGRESS
CR10595725619637518337,$T$ FOR CONGRESS,WMPID1269,0,10,advertiser_name,5,1,Abigail Spanberger,"", FOR CONGRESS
CR10850297402242367489,$T$ FOR CONGRESS,WMPID1052,0,12,advertiser_name,875,1,Nancy Pelosi,"", FOR CONGRESS
CR10872740152552194049,PEOPLE FOR $T$,WMPID859,11,23,advertiser_name,302,1,Derek Kilmer,PEOPLE FOR ,""
CR10939034999990517761,$T$ FOR CONGRESS,WMPID4223,0,6,advertiser_name,1135,1,Tom Weiler,"", FOR CONGRESS
CR11096275058367135745,$T$ FOR SENATE,WMPID1321,0,11,advertiser_name,1333,1,Marco Rubio,"", FOR SENATE
CR11166289965959086081,$T$ FOR CONGRESS,WMPID470,0,13,advertiser_name,462,1,Jackie Gordon,"", FOR CONGRESS
CR11317490406964330497,$T$ FOR CONGRESS,WMPID1179,0,8,advertiser_name,54,1,Andy Kim,"", FOR CONGRESS
CR11412550334011146241,$T$ For Congress,WMPID1935,0,15,advertiser_name,508,1,Jayme Stevenson,"", For Congress
CR11469341552694788097,$T$ FOR COLORADO,WMPID2090,0,18,advertiser_name,145,1,Brittany Louise Pettersen,"", FOR COLORADO
CR11663324197295226881,$T$ for Senate,WMPID1302,0,10,advertiser_name,1337,1,Mark Kelly,"", for Senate
CR11674540040532262913,$T$ for Congress,WMPID946,0,5,advertiser_name,52,1,Andy Biggs,"", for Congress
CR11783274318815821825,$T$ FOR CONGRESS,WMPID2537,0,5,advertiser_name,124,1,Brad Pfaff,"", FOR CONGRESS
CR11830833694275272705,$T$ FOR CONGRESS,WMPID1117,0,16,advertiser_name,694,1,Lauren A Underwood,"", FOR CONGRESS
CR11839511040041680897,$T$ for Congress,WMPID3975,0,7,advertiser_name,279,1,David Galluch,"", for Congress
CR12755697795583705089,$T$ FOR CONGRESS,WMPID848,0,5,advertiser_name,948,1,Randy Weber,"", FOR CONGRESS
CR12771481285000429569,$T$ FOR CONGRESS,WMPID1223,0,10,advertiser_name,1085,1,Susan Wild,"", FOR CONGRESS
CR12839607369054814209,$T$ for Senate,WMPID1302,0,10,advertiser_name,1337,1,Mark Kelly,"", for Senate
CR13078049041202282497,$T$ FOR US SENATE,WMPID1471,0,14,advertiser_name,1326,1,Lisa Murkowski,"", FOR US SENATE
CR13391006609228955649,BUDDY $T$ FOR CONGRESS,WMPID882,6,12,advertiser_name,152,1,Buddy Carter,BUDDY , FOR CONGRESS
CR13748540096632586241,REP. $T$ - U.S. HOUSE OF REPRESENTATIVES,WMPID840,5,15,advertiser_name,572,1,Joe Wilson,REP. , - U.S. HOUSE OF REPRESENTATIVES
CR14523788084471922689,$T$ FOR CONGRESS,WMPID1111,0,6,advertiser_name,1049,1,Sean Casten,"", FOR CONGRESS
CR14894003820026658817,$T$ FOR CONGRESS,WMPID1629,0,10,advertiser_name,617,1,Josh Riley,"", FOR CONGRESS
CR14949149825717764097,$T$ FOR SENATE,WMPID1321,0,11,advertiser_name,1333,1,Marco Rubio,"", FOR SENATE
CR14970070577056841729,$T$ FOR CONGRESS,WMPID2527,0,5,advertiser_name,1022,1,Ryan Zinke,"", FOR CONGRESS
CR15197939620269522945,$T$ FOR CONGRESS,WMPID2029,0,7,advertiser_name,65,1,Ann Roe,"", FOR CONGRESS
CR15313882021906874369,Dr. $T$ for Congress,WMPID780,4,13,advertiser_name,951,1,Raul Ruiz,Dr. , for Congress
CR15676000678956761089,$T$ for Congress,WMPID991,0,11,advertiser_name,61,1,Angie Craig,"", for Congress
CR15690069273831538689,$T$ for Senate,WMPID1302,0,10,advertiser_name,1337,1,Mark Kelly,"", for Senate
CR15907896477347741697,$T$ FOR CONGRESS,WMPID3956,0,6,advertiser_name,828,1,Michael Vincent Lawler,"", FOR CONGRESS
CR16001346169615679489,COMMITTEE TO ELECT $T$,WMPID1147,19,31,advertiser_name,494,1,Jared Golden,COMMITTEE TO ELECT ,""
CR16319276553856876545,FRIENDS OF $T$,WMPID1547,11,18,advertiser_name,1223,1,Charles Schumer,FRIENDS OF ,""
CR16486609235623280641,$T$ FOR CONGRESS,WMPID4126,0,12,advertiser_name,211,1,Cicely Davis,"", FOR CONGRESS
CR16552013272484675585,$T$ for Congress Committee,WMPID1115,0,11,advertiser_name,106,1,Bill Foster,"", for Congress Committee
CR17018957993737191425,$T$ for Colorado,WMPID1305,0,6,advertiser_name,1347,1,Michael Bennet,"", for Colorado
CR17308909930220093441,$T$ FOR CONGRESS,WMPID1193,0,24,advertiser_name,25,1,Alexandria Ocasio-Cortez,"", FOR CONGRESS
CR17360451942953779201,$T$ FOR CONGRESS,WMPID2153,0,12,advertiser_name,352,1,Emilia Sykes,"", FOR CONGRESS
