ad_id,text,text_detected_entities,text_start,text_end,field,CAND,TONE,CAND_name,chunk1,chunk2
CR13362072204829786113,$T$ FOR CONGRESS,WMPID326,0,12,advertiser_name,420,1,Gregory Coll,"", FOR CONGRESS
CR00003949583205924865,"$T$ FOR CONGRESS, INC.",WMPID271,0,9,advertiser_name,51,1,Andy Barr,""," FOR CONGRESS, INC."
CR00116012083186761729,$T$ FOR CONGRESS,WMPID363,0,7,advertiser_name,1152,1,Tyler Kistner,"", FOR CONGRESS
CR00154092019147341825,$T$ FOR CONGRESS,WMPID1069,0,12,advertiser_name,647,1,Katie Porter,"", FOR CONGRESS
CR00180207275732893697,$T$ for Colorado,WMPID1305,0,6,advertiser_name,1347,1,Michael Bennet,"", for Colorado
CR00206218147433283585,"$T$ FOR U.S. SENATE, INC.",WMPID4019,0,10,advertiser_name,1324,1,Leora Levy,""," FOR U.S. SENATE, INC."
CR00233098183075430401,$T$ FOR CONGRESS,WMPID1069,0,12,advertiser_name,647,1,Katie Porter,"", FOR CONGRESS
CR00250711053682343937,$T$ FOR CONGRESS,WMPID3923,0,12,advertiser_name,1179,1,Wiley Nickel,"", FOR CONGRESS
CR00419722071229071361,$T$ FOR NORTH CAROLINA,WMPID3297,0,13,advertiser_name,1224,1,Cheri Beasley,"", FOR NORTH CAROLINA
CR00422622651622621185,$T$ FOR CONGRESS,WMPID2343,0,15,advertiser_name,144,1,Bridget Fleming,"", FOR CONGRESS
CR00506031053949894657,$T$ FOR CONGRESS INC,WMPID444,0,4,advertiser_name,1130,1,Tom Kean,"", FOR CONGRESS INC
CR00519705611345068033,$T$ FOR CONGRESS,WMPID1006,0,10,advertiser_name,554,1,Jim Jordan,"", FOR CONGRESS
CR00551550560461914113,$T$ FOR CONGRESS,WMPID475,0,15,advertiser_name,398,1,George Devolder-Santos,"", FOR CONGRESS
CR00597336148787855361,$T$ FOR CONGRESS,WMPID1668,0,12,advertiser_name,402,1,George Logan,"", FOR CONGRESS
CR00636520338020106241,$T$ FOR CONGRESS,WMPID2527,0,5,advertiser_name,1022,1,Ryan Zinke,"", FOR CONGRESS
CR00636816862562222081,$T$ FOR CONGRESS,WMPID68,0,13,advertiser_name,208,1,Christy Smith,"", FOR CONGRESS
CR00641353653696856065,"$T$ FOR CONGRESS, INC.",WMPID271,0,9,advertiser_name,51,1,Andy Barr,""," FOR CONGRESS, INC."
CR00722187343389261825,$T$ CT2,WMPID4570,0,11,advertiser_name,846,1,Mike France,"", CT2
CR00771938045522870273,$T$ FOR CONGRESS,WMPID897,0,5,advertiser_name,1128,1,Tom Emmer,"", FOR CONGRESS
CR00817025787562557441,$T$ for Congress,WMPID803,0,13,advertiser_name,1112,1,Thomas Massie,"", for Congress
CR00861735984797057025,$T$ FOR SENATE,WMPID3907,0,13,advertiser_name,1208,1,Blake Masters,"", FOR SENATE
CR00879987671659708417,$T$ for Colorado,WMPID1305,0,6,advertiser_name,1347,1,Michael Bennet,"", for Colorado
CR00930373273038880769,$T$ for Congress,WMPID1629,0,10,advertiser_name,617,1,Josh Riley,"", for Congress
CR00932765810340921345,$T$ FOR SENATE,WMPID1519,0,5,advertiser_name,1388,1,Ron Wyden,"", FOR SENATE
CR00937047308619481089,$T$ for Congress,WMPID1770,0,9,advertiser_name,7,1,Adam Gray,"", for Congress
CR00979532781514129409,Rep. $T$ - U.S. HOUSE OF REPRESENTATIVES,WMPID952,5,19,advertiser_name,1023,1,Salud Carbajal,Rep. , - U.S. HOUSE OF REPRESENTATIVES
CR01005689338505199617,FRIENDS OF $T$,WMPID1547,11,18,advertiser_name,1223,1,Charles Schumer,FRIENDS OF ,""
CR01047456967745863681,$T$ FOR CONGRESS,WMPID1117,0,16,advertiser_name,694,1,Lauren A Underwood,"", FOR CONGRESS
CR01080855458073280513,$T$ CT2,WMPID4570,0,11,advertiser_name,846,1,Mike France,"", CT2
CR01136687833898024961,$T$ FOR CONGRESS,WMPID1812,0,10,advertiser_name,2,1,Aaron Bean,"", FOR CONGRESS
CR01178117432032624641,$T$ FOR CONGRESS,WMPID1187,0,5,advertiser_name,310,1,Dina Titus,"", FOR CONGRESS
CR01188609521740677121,$T$ FOR CONGRESS,WMPID2781,0,9,advertiser_name,995,1,Robert Zimmerman,"", FOR CONGRESS
CR01224907767827922945,$T$ FOR SENATE,WMPID1495,0,9,advertiser_name,1415,1,Tim Scott,"", FOR SENATE
CR01239477396407582721,$T$ FOR CONGRESS INC.,WMPID973,0,13,advertiser_name,327,1,Drew Ferguson,"", FOR CONGRESS INC.
CR01377511735426023425,BURNSFORNH % $T$,WMPID1898,13,25,advertiser_name,976,1,Robert Andrew Burns,BURNSFORNH % ,""
CR01457298827487739905,$T$ for Congress,WMPID322,0,7,advertiser_name,886,1,Neil Parrott,"", for Congress
CR01488259425658470401,$T$ for Senate,WMPID1302,0,10,advertiser_name,1337,1,Mark Kelly,"", for Senate
CR01541242966855647233,$T$ FOR SENATE,WMPID1321,0,11,advertiser_name,1333,1,Marco Rubio,"", FOR SENATE
CR01553838765905018881,$T$ FOR CONGRESS,WMPID822,0,8,advertiser_name,429,1,Hakeem Jeffries,"", FOR CONGRESS
CR01653952529429430273,$T$ FOR CONGRESS,WMPID2459,0,7,advertiser_name,918,1,Paul Degroot,"", FOR CONGRESS
CR01658898132731166721,$T$ FOR CONGRESS,WMPID1179,0,8,advertiser_name,54,1,Andy Kim,"", FOR CONGRESS
CR01663772542655004673,$T$ for Colorado,WMPID1305,0,6,advertiser_name,1347,1,Michael Bennet,"", for Colorado
CR01753459225096355841,$T$ FOR UTAH INC,WMPID3978,0,8,advertiser_name,1241,1,David Evan Mcmullin,"", FOR UTAH INC
CR01840024531465404417,$T$ for Congress,WMPID3309,0,8,advertiser_name,413,1,Greg Landsman,"", for Congress
CR01860935043602448385,$T$ FOR CONGRESS,WMPID4259,0,14,advertiser_name,438,1,Heather Renay Mizeur,"", FOR CONGRESS
